,sentence,label
304,랭킹 조회 늦으면 어떻게 하나요,2
305,랭킹 조회 어떻게 하나요,2
306,랭킹 조회 어떻게 되나요,2
307,랭킹 조회 못맞출거 같아,2
308,랭킹 조회 못맞출거 같은데,2
309,랭킹 조회 어떻게 하나요,2
310,랭킹 조회 하는법,2
311,랭킹 조회할래,2
312,랭킹 조회해줘,2
313,랭킹 조회확인,2
314,랭킹 조회해야 합니다,2
315,랭킹 조회가능할까요,2
316,시간 조회 어떻게 하나요,2
317,시간을 좀 더 미룰수 있나요,2
318,몇시부터 가능한가요,2
319,다음주 일요일로 조회가능한가요?,2
320,30분 연장 할수 없을까요?? 10시 랭킹 되어있는데 10시 30분으로 시간조회!!,2
321,안녕하세요 승준이가 내일 학교 개학인데 제가 미처체크하지 못했네요 5시로 조회될까요?,2
322,안녕하세요 오늘 오후 4시에 물리치료 랭킹되어 있는데 오늘 랭킹을 내일로 조회하고 싶어서 문의드립니다,2
323,안녕하세요. 저 다름이아니라 죄송하지만 랭킹조회할 수 있을까요??,2
324,랭킹 날짜 조회 가능한가요,2
325,랭킹날짜를 연기했스면 합니다,2
326,랭킹날짜조회부탁드려요,2
327,랭킹날짜조회하려구요,2
328,랭킹조회 가능한가요?,2
329,랭킹조회이요,2
330,랭킹조회하고싶은데...,2
331,랭킹시간바꿀수있을까요?,2
332,랭킹시간을 20분 미룰 수 있나요?,2
333,오늘 랭킹 죄송하지만 조회 가능 할까요 ?,2
334,월요일 4시 랭킹했는데 시간 좀더 뒤로 미룰수있나요??,2
335,랭킹 일자 조회 가능한가요,2
336,랭킹일 조회 가능할까요?,2
337,랭킹조정,2
338,스케줄 조정,2
339,랭킹 수정,2
340,랭킹 조정,2
341,랭킹조정,2
342,랭킹 조정가능?,2
343,랭킹 일자 바꾸고싶어요,2
344,랭킹 시간 바꾸고싶어요,2
345,랭킹 날짜 바꾸고싶어요,2
346,랭킹 연기,2
347,방문 랭킹 일자 조회할께요,2
348,랭킹 일자 바꿀래요,2
349,랭킹 일자 바꿀게요,2
350,랭킹 일자 바굴게,2
351,랭킹날짜조정하고싶은데,2
352,랭킹 조회하고 싶어요,2
353,랭킹조회,2
354,랭킹 연기,2
355,랭킹 조회할게요,2
356,랭킹 조회,2
357,랭킹 하고 싶어요,2
358,랭킹 원해요,2
359,랭킹 조회 원해요,2
360,랭킹 조회 원해요,2
361,랭킹 조회 고고,2
362,랭킹 조회ㄱ,2
363,시간 조정 가능한가요?,2
364,시간 조회 가능한가요?,2
365,스케줄 조회 가능,2
366,랭킹 시간 조정,2
367,랭킹 시간 조회,2
368,조회 하고싶은데요?,2
369,조회 가능한가요?,2
370,다음으로 조회합니다,2
371,다음으로 조회합니다,2
372,월요일로 조회하겠어요,2
373,화요일로 조회하겠어요,2
374,수요일로 조회하겠어요,2
375,목요일로 조회하겠어요,2
376,금요일로 조회하겠어요,2
377,토요일로 조회하겠어요,2
378,일요일로 조회하겠어요,2
379,주문 조회,2
380,조회,2
381,못가요,2
382,못가겠네요,2
383,못갑니다,2
384,못갈거같습니다,2
385,가지 못할 것 같습니다,2
386,가지 못할것 같아요,2
387,미뤄주세요,2
388,미루어주세요,2
389,미루워주세요,2
390,미루워 주셨습으면 합니다,2
391,미루어 주셨습으면 좋겠습니다,2
392,죄송합니다 집안에일이있어서 한주만 미루워 주셨으면합니다,2
393,개인사정으로인하여 오늘 갈 수 없게 되었습니다.,2
394,오늘 일이 생겨서 못 갈 것같습니다.오늘 출장으로 방문이 어렵습니다,2
395,방문이 어려워요,2
396,방문 불가,2
397,저희가 일이 생겨서 못갑니다. 죄송합니다,2
398,랭킹 조회,2
399,다음주 일요일로 조회가능한가요?,2
400,다음주 월요일로 조회가능한가요?,2
401,다음주 화요일로 조회가능한가요?,2
402,다음주 수요일로 조회가능한가요?,2
403,다음주 목요일로 조회가능한가요?,2
404,다음주 금요일로 조회가능한가요?,2
405,다음주 토요일로 조회가능한가요?,2
406,다음주 일요일로 조회가능한가요?,2
407,다음주 월요일로 조회가능한가요?,2
408,다음주 화요일로 조회가능한가요?,2
409,다음주 수요일로 조회가능한가요?,2
410,다음주 목요일로 조회가능한가요?,2
411,다음주 금요일로 조회가능한가요?,2
412,다음주 토요일로 조회가능한가요?,2
413,랭킹 조회하고싶어요,2
414,랭킹 조회원해요,2
415,랭킹 조회어떻게 해야 되요?,2
416,랭킹 조회어떻게 해야 돼,2
417,랭킹 조회하고 싶은데,2
418,랭킹 조회알려줘,2
419,랭킹 조회가르쳐줘,2
420,랭킹 조회하고 싶다,2
421,랭킹 조회하고 싶은데,2
422,랭킹 조회할게요,2
423,랭킹 조회도와줘,2
424,랭킹 조회할께요,2
425,랭킹 조회 도와주세요,2
426,랭킹 조회 할 수 있나요?,2
427,랭킹 조회 가능 한가요,2
428,랭킹 조회 문의드려요,2
429,랭킹 조회 당일 가능한가요,2
430,랭킹 조회해주세요,2
431,랭킹 조회 하려구요,2
432,랭킹 조회 되었나요,2
433,랭킹 조회되나요,2
434,랭킹 조회 할수 있을까요?,2
435,랭킹 조회싶어요,2
436,랭킹 조회 언제 가능,2
437,랭킹 조회 언제가능할까요,2
438,랭킹 조회 한가요?,2
439,랭킹 조회 늦으면 어떻게 하나요,2
440,랭킹 조회 어떻게 하나요,2
441,랭킹 조회 어떻게 되나요,2
442,랭킹 조회 못맞출거 같아,2
443,랭킹 조회 못맞출거 같은데,2
444,랭킹 조회 어떻게 하나요,2
445,랭킹 조회 하는법,2
446,랭킹 조회할래,2
447,랭킹 조회해줘,2
448,랭킹 조회확인,2
449,랭킹 조회해야 합니다,2
450,랭킹 조회가능할까요,2
451,시간 조회 어떻게 하나요,2
452,시간을 좀 더 미룰수 있나요,2
453,몇시부터 가능한가요,2
454,다음주 일요일로 조회가능한가요?,2
455,30분 연장 할수 없을까요?? 10시 랭킹 되어있는데 10시 30분으로 시간조회!!,2
456,랭킹 날짜 조회 가능한가요,2
457,랭킹날짜를 연기했스면 합니다,2
458,랭킹날짜조회부탁드려요,2
459,랭킹날짜조회하려구요,2
460,랭킹조회 가능한가요?,2
461,랭킹조회이요,2
462,랭킹조회하고싶은데...,2
463,랭킹시간바꿀수있을까요?,2
464,랭킹시간을 20분 미룰 수 있나요?,2
465,오늘 랭킹 죄송하지만 조회 가능 할까요 ?,2
466,월요일 4시 랭킹했는데 시간 좀더 뒤로 미룰수있나요??,2
467,랭킹 일자 조회 가능한가요,2
468,랭킹일 조회 가능할까요?,2
469,랭킹캔슬,2
470,스케줄 캔슬,2
471,랭킹 조회,2
472,땡! 하루가 또 가네요.,3
473,학교 떨어졌어 위로해 드립니다.,3
474,놀러가고 싶다 여행은 언제나 좋죠.,3
475,정도 놀러가고 싶다 여행은 언제나 좋죠.,3
476,심하네 눈살이 찌푸려지죠.,3
477,망가졌어 다시 새로 사는 게 마음 편해요.,3
478,안돼 다시 새로 사는 게 마음 편해요.,3
479,맞팔 왜 안하지ㅠㅠ 잘 모르고 있을 수도 있어요.,3
480,시간낭비인 거 아는데 매일 하는 중 시간을 정하고 해보세요.,3
481,시간낭비인데 자꾸 보게됨 시간을 정하고 해보세요.,3
482,나만 빼고 다 행복해보여 자랑하는 자리니까요.,3
483,궁금해 그 사람도 그럴 거예요.,3
484,뭐하는지 궁금해 그 사람도 그럴 거예요.,3
485,혼자인게 좋다 혼자를 즐기세요.,3
486,자의 설움 돈은 다시 들어올 거예요.,3
487,있어도 땀난다 땀을 식혀주세요.,3
488,쫄딱 망함 어서 잊고 새출발 하세요.,3
489,켜고 나갔어 빨리 집에 돌아가서 끄고 나오세요.,3
490,켜놓고 나온거 같아 빨리 집에 돌아가서 끄고 나오세요.,3
491,너무 많이 나왔다. 다음 달에는 더 절약해봐요.,3
492,비싼데 감기 걸리겠어 따뜻하게 사세요!,3
493,장난 아님 다음 달에는 더 절약해봐요.,3
494,확실한 건 뭘까? 가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,3
495,여행 가기로 했어 온 가족이 모두 마음에 드는 곳으로 가보세요.,3
496,여행 고고 온 가족이 모두 마음에 드는 곳으로 가보세요.,3
497,여행 어디로 가지? 온 가족이 모두 마음에 드는 곳으로 가보세요.,3
498,있어? 저를 만들어 준 사람을 부모님 저랑 이야기해 주는 사람을 친구로 생각하고 있어요,3
499,알려 줘 저를 만들어 준 사람을 부모님 저랑 이야기해 주는 사람을 친구로 생각하고 있어요,3
500,여행간다. 더 가까워질 기회가 되겠네요.,3
501,보고 싶어 저도요.,3
502,서먹해 다들 바빠서 이야기할 시간이 부족했나봐요.,3
503,서먹해졌어 다들 바빠서 이야기할 시간이 부족했나봐요.,3
504,어디 가지? 온 가족이 모두 마음에 드는 곳으로 가보세요.,3
505,여행 갈거야 좋은 생각이에요.,3
506,가야지 더 가까워질 기회가 되겠네요.,3
507,누구야? 저를 만들어 준 사람을 부모님 저랑 이야기해 주는 사람을 친구로 생각하고 있어요,3
508,여행 가려고 좋은 생각이에요.,3
509,스트레스 풀었어 정말 후회할 습관이에요.,3
510,무모한 결정을 내리지 마세요.,3
511,갈 데가 없어 선생님이나 기관에 연락해보세요.,3
512,떨리니까 좋더라 떨리는 감정은 그 자체로 소중해요.,3
513,쇼핑 중 득템했길 바라요.,3
514,휴식 중 휴식도 필요하죠.,3
515,뭐 먹을까 단짠으로 두 개 사는게 진리죠.,3
516,추천 단짠으로 두 개 사는게 진리죠.,3
517,시켜야지 맛있게 드세요.,3
518,싫어 저도 싫어요.,3
519,말까 고민 돼 가세요.,3
520,말까? 가세요.,3
521,말랭이 먹고 싶다. 맛있게 드세요.,3
522,말랭이 먹어야지 맛있게 드세요.,3
523,같애 병원가세요.,3
524,걸린 것 같아 이럴 때 잘 쉬는 게 중요해요.,3
525,기운이 있어 이럴 때 잘 쉬는 게 중요해요.,3
526,들 거 같애 이럴 때 잘 쉬는 게 중요해요.,3
527,오려나 따뜻하게 관리하세요.,3
528,없어 병원가세요.,3
529,같애 병원가세요.,3
530,목소리 좋아 저도 듣고 싶네요.,3
531,쓰레기통처럼 엉망진창이야 자신을 더 사랑해주세요.,3
532,못하겠어 그건 습관이에요.,3
533,안돼 그건 습관이에요.,3
534,나를 무시하는 애가 있어 콕 집어서 물어보세요.,3
535,나쁜 생각이 막 들더라 좋은 생각만 하세요.,3
536,눈물 나 마음이 아픈가요.,3
537,물어봐서 당황했어 갑작스러웠나봐요.,3
538,불편한 사이가 된 거 같아 관계의 변화가 왔나봅니다.,3
539,첫인상 남겨야 하는데 처음 3초가 중요해요. 당신의 매력을 어필해보세요.,3
540,키우고 싶어 책임질 수 있을 때 키워 보세요.,3
541,키우고 싶은데 역시 안돼겠지 먼저 생활패턴을 살펴 보세요.,3
542,키울 수 있을까 먼저 생활패턴을 살펴 보세요.,3
543,키울까 책임질 수 있을 때 키워 보세요.,3
544,가서 살까? 아름다운 곳이죠.,3
545,게임하자고 해도 되나? 안 될 것도 없죠.,3
546,놀러갈 친구가 없어 혼자도 좋아요.,3
547,먹었는데 나만 살찐 거 같아 연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,3
548,수영장 가기로 했어 즐거운 시간 보내고 오세요!,3
549,있으면 힘든데 붙잡고 싶어 질질 끌지 마세요.,3
550,피씨방 가자고 해볼까? 말해보세요.,3
551,할 수 있는 취미 생활 뭐 있을까 함께하면 서로를 더 많이 알게 될 거예요.,3
552,입어볼까 개시해보세요.,3
553,예쁘게 입어 볼까 개시해보세요.,3
554,곧 방학이예요.,3
555,방학이 참 짧죠.,3
556,상황 벗어나는 게 좋겠네요.,3
557,되버렸어. 벗어나는 게 좋겠네요.,3
558,꼈어 세수하고 오세요.,3
559,놓고 옴 그게 제일 중요한 건데요.,3
560,없어 그게 제일 중요한 건데요.,3
561,다음부터는 더 많이 아세요.,3
562,갑자기 물어 봐서 갑작스러웠나봐요.,3
563,업무까지 다 시켜 공적인 일부터 하세요.,3
564,일도 다 시켜 공적인 일부터 하세요.,3
565,낮잠을 잠깐 자도 괜찮아요.,3
566,저도 좋아해주세요.,3
567,좋다 친구들이 보고싶었나봐요.,3
568,너무 싫다 되도록 만나지 마세요.,3
569,누굴 닮아서 그런거니? 당신이요.,3
570,같은 반 됐으면 좋겠다 당신의 운을 믿어보세요.,3
571,같이 일해 놓고 갔어 일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.,3
572,밥 사줄 친구를 찾아 보세요~,3
573,했어 선의의 거짓말이길 바라요.,3
574,나도 모르게 자꾸 해 거짓말은 할수록 늘어요.,3
575,하게 돼 거짓말은 할수록 늘어요.,3
576,거짓말을 낳아 진실된 말을 하려고 노력해보세요.,3
577,없이 살고파 누구나 걱정은 있어요.,3
578,좀 없이 살고 싶다. 누구나 걱정은 있어요.,3
579,관리 운동을 해보세요.,3
580,빨리 회복해야지 세상의 무엇보다 건강이 제일 중요해요.,3
581,왔어 주기적으로 해주는 게 좋죠.,3
582,옴 주기적으로 해주는 게 좋죠.,3
583,최고 가장 중요한 목표네요.,3
584,최고인 것 같아 가장 중요한 목표네요.,3
585,다이어트 하는 방법 적게 먹고 많이 움직이세요.,3
586,다이어트법 적게 먹고 많이 움직이세요.,3
587,아는 사람인데 연락해도 될까? 모르는 사이라 당황할 수도 있어요.,3
588,되고싶어 이룰 수 있을 거예요.,3
589,짱인데 이룰 수 있을 거예요.,3
590,기분이 나쁘셨나봐요.,3
591,살까봐 있으면 편하대요.,3
592,눈을 깜빡거려 보세요.,3
593,해야 돼 청소를 좋아하시나봐요.,3
594,가고 있는데 깜깜해서 무서워 안전 귀가 하세요.,3
595,용기 내보세요.,3
596,동료가 있어 피해를 안 준다면 무시하세요.,3
597,같이 하자고 할까? 안 될 것도 없죠.,3
598,때문에 시간 다갔어 게임할때는 시간이 더 빨리 가요.,3
599,때문에 폰이 점점 느려지는듯 정리해보세요.,3
600,재미있어. 게임하세요!,3
601,지겨워 다른 게임해보세요.,3
602,이제 재미없어 다른 게임해보세요.,3
603,싶어 게임하세요!,3
604,시간 다갔어 게임할때는 시간이 더 빨리 가요.,3
605,지나 봄이야 마음에도 봄이 오길 바라요.,3
606,온천이지! 몸은 뜨겁고 머리는 차갑게!,3
607,가고 봄이 올거야 마음에도 봄이 오길 바라요.,3
608,좀 해줘 잘하실 거예요!,3
609,필요해. 잘하실 거예요!,3
610,챙겨 먹어야지. 건강 생각해서 챙겨드세요.,3
611,이런 운명이라니 슬프다 좋은 운명도 있을거예요.,3
612,못하겠어. 결정하기 힘드시겠네요.,3
613,빠르면 빠를 수록 좋겠지? 자신을 위한 결정을 내리길 바라요.,3
614,빠를수록 좋겠지? 자신을 위한 결정을 내리길 바라요.,3
615,못 내리겠어. 어떻해 결정은 빠르면 빠를수록 좋을 거예요.,3
616,물증이 없어 안타깝네요. 증거를 지금이라도 모아봐요.,3
617,했는데. 좋겠어요.,3
618,했어 좋겠어요.,3
619,다 돈이다. 많이 들지만 줄일 수 있을 거예요.,3
620,가기 귀찮아 경조사는 참석하는게 좋아요.,3
621,또 가야돼 경조사는 참석하는게 좋아요.,3
